numero_processo,numero_cnj,classe_codigo,classe_nome,orgao_julgador,data_ajuizamento,ultima_atualizacao,qtd_movimentos,grau,link_consulta
00151314220054047000,0015131-42.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2012-07-24,2022-05-09T16:50:52.624000Z,64,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00151314220054047000&selOrigem=TRF&chkMostrarBaixados=1
00151548020084047000,0015154-80.2008.4.04.7000,417,Apelação Criminal,7ª Turma,2009-07-03,2022-05-18T11:05:42.279000Z,57,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00151548020084047000&selOrigem=TRF&chkMostrarBaixados=1
00156595220004047000,0015659-52.2000.4.04.7000,417,Apelação Criminal,7ª Turma,2007-02-27,2022-05-10T16:19:33.628000Z,73,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00156595220004047000&selOrigem=TRF&chkMostrarBaixados=1
00157835420084047000,0015783-54.2008.4.04.7000,417,Apelação Criminal,8ª Turma,2011-02-24,2022-05-12T08:50:48.320000Z,55,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00157835420084047000&selOrigem=TRF&chkMostrarBaixados=1
00170664920074047000,0017066-49.2007.4.04.7000,417,Apelação Criminal,7ª Turma,2011-11-21,2022-05-18T07:25:36.981000Z,60,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00170664920074047000&selOrigem=TRF&chkMostrarBaixados=1
00178381720044047000,0017838-17.2004.4.04.7000,417,Apelação Criminal,7ª Turma,2014-11-17,2022-05-11T05:27:38.310000Z,38,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00178381720044047000&selOrigem=TRF&chkMostrarBaixados=1
00185145720074047000,0018514-57.2007.4.04.7000,417,Apelação Criminal,8ª Turma,2017-11-14,2022-05-07T18:32:32.006000Z,31,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00185145720074047000&selOrigem=TRF&chkMostrarBaixados=1
00200918519984047000,0020091-85.1998.4.04.7000,417,Apelação Criminal,8ª Turma,2013-01-14,2022-05-11T13:32:55.895000Z,177,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00200918519984047000&selOrigem=TRF&chkMostrarBaixados=1
00201274920064047000,0020127-49.2006.4.04.7000,417,Apelação Criminal,7ª Turma,2007-03-19,2022-05-06T21:50:14.839000Z,204,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00201274920064047000&selOrigem=TRF&chkMostrarBaixados=1
00203249620094047000,0020324-96.2009.4.04.7000,417,Apelação Criminal,7ª Turma,2017-03-10,2022-05-12T21:08:56.578000Z,26,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00203249620094047000&selOrigem=TRF&chkMostrarBaixados=1
00206659320074047000,0020665-93.2007.4.04.7000,417,Apelação Criminal,8ª Turma,2015-01-30,2022-05-12T04:29:40.917000Z,178,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00206659320074047000&selOrigem=TRF&chkMostrarBaixados=1
00208345120054047000,0020834-51.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2011-11-24,2022-05-12T01:27:41.762000Z,85,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00208345120054047000&selOrigem=TRF&chkMostrarBaixados=1
00209171419984047000,0020917-14.1998.4.04.7000,417,Apelação Criminal,7ª Turma,2011-05-05,2022-05-06T21:16:37.790000Z,150,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00209171419984047000&selOrigem=TRF&chkMostrarBaixados=1
00215486920094047000,0021548-69.2009.4.04.7000,417,Apelação Criminal,7ª Turma,2011-02-11,2022-05-18T07:25:48.179000Z,72,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00215486920094047000&selOrigem=TRF&chkMostrarBaixados=1
00220870620074047000,0022087-06.2007.4.04.7000,417,Apelação Criminal,7ª Turma,2015-04-15,2022-05-10T23:13:38.069000Z,121,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00220870620074047000&selOrigem=TRF&chkMostrarBaixados=1
00225216320054047000,0022521-63.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2009-12-01,2022-05-10T15:31:32.450000Z,86,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00225216320054047000&selOrigem=TRF&chkMostrarBaixados=1
00225224820054047000,0022522-48.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2010-05-28,2022-05-11T06:59:52.130000Z,221,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00225224820054047000&selOrigem=TRF&chkMostrarBaixados=1
00232815120014047000,0023281-51.2001.4.04.7000,417,Apelação Criminal,7ª Turma,2012-03-21,2022-05-12T16:47:01.071000Z,87,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00232815120014047000&selOrigem=TRF&chkMostrarBaixados=1
00234445520064047000,0023444-55.2006.4.04.7000,417,Apelação Criminal,7ª Turma,2011-02-09,2022-05-10T14:49:24.906000Z,71,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00234445520064047000&selOrigem=TRF&chkMostrarBaixados=1
00235914720074047000,0023591-47.2007.4.04.7000,417,Apelação Criminal,8ª Turma,2013-11-29,2022-05-11T07:38:02.100000Z,62,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00235914720074047000&selOrigem=TRF&chkMostrarBaixados=1
00249668320074047000,0024966-83.2007.4.04.7000,417,Apelação Criminal,8ª Turma,2011-04-27,2022-05-18T07:37:19.464000Z,59,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00249668320074047000&selOrigem=TRF&chkMostrarBaixados=1
00249710820074047000,0024971-08.2007.4.04.7000,417,Apelação Criminal,7ª Turma,2014-08-26,2022-05-11T08:34:03.212000Z,118,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00249710820074047000&selOrigem=TRF&chkMostrarBaixados=1
00273262520064047000,0027326-25.2006.4.04.7000,417,Apelação Criminal,8ª Turma,2017-08-02,2022-05-18T06:09:05.584000Z,32,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00273262520064047000&selOrigem=TRF&chkMostrarBaixados=1
00289172720034047000,0028917-27.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2009-03-25,2022-05-11T14:37:45.797000Z,125,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00289172720034047000&selOrigem=TRF&chkMostrarBaixados=1
00292394220064047000,0029239-42.2006.4.04.7000,417,Apelação Criminal,8ª Turma,2011-05-27,2022-05-12T04:41:30.482000Z,70,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00292394220064047000&selOrigem=TRF&chkMostrarBaixados=1
00294966720064047000,0029496-67.2006.4.04.7000,417,Apelação Criminal,8ª Turma,2009-08-26,2022-05-18T12:29:12.829000Z,86,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00294966720064047000&selOrigem=TRF&chkMostrarBaixados=1
00325951620044047000,0032595-16.2004.4.04.7000,417,Apelação Criminal,8ª Turma,2006-02-21,2022-05-11T11:46:01.157000Z,112,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00325951620044047000&selOrigem=TRF&chkMostrarBaixados=1
00330310920034047000,0033031-09.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2011-04-29,2023-07-04T04:22:46.304000Z,52,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00330310920034047000&selOrigem=TRF&chkMostrarBaixados=1
00331177720034047000,0033117-77.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2010-03-22,2022-05-10T16:34:05.288000Z,76,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00331177720034047000&selOrigem=TRF&chkMostrarBaixados=1
00332378620044047000,0033237-86.2004.4.04.7000,417,Apelação Criminal,8ª Turma,2017-06-28,2022-05-11T05:09:08.128000Z,44,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00332378620044047000&selOrigem=TRF&chkMostrarBaixados=1
00335767920034047000,0033576-79.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2010-05-21,2022-05-18T12:33:27.087000Z,82,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00335767920034047000&selOrigem=TRF&chkMostrarBaixados=1
00340074520054047000,0034007-45.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2009-03-16,2022-05-10T16:16:34.928000Z,155,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00340074520054047000&selOrigem=TRF&chkMostrarBaixados=1
00340083020054047000,0034008-30.2005.4.04.7000,417,Apelação Criminal,8ª Turma,2009-11-11,2022-05-18T07:25:25.518000Z,64,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00340083020054047000&selOrigem=TRF&chkMostrarBaixados=1
00340109720054047000,0034010-97.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2011-06-15,2022-05-06T21:27:20.820000Z,124,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00340109720054047000&selOrigem=TRF&chkMostrarBaixados=1
00340118220054047000,0034011-82.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2011-04-25,2024-07-01T09:10:16.111000Z,187,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00340118220054047000&selOrigem=TRF&chkMostrarBaixados=1
00340135220054047000,0034013-52.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2011-08-12,2022-05-10T20:42:09.481000Z,67,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00340135220054047000&selOrigem=TRF&chkMostrarBaixados=1
00342014520054047000,0034201-45.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2011-11-16,2022-05-18T06:23:09.597000Z,126,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00342014520054047000&selOrigem=TRF&chkMostrarBaixados=1
00342031520054047000,0034203-15.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2008-08-21,2022-05-11T01:56:08.937000Z,104,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00342031520054047000&selOrigem=TRF&chkMostrarBaixados=1
00342058220054047000,0034205-82.2005.4.04.7000,417,Apelação Criminal,8ª Turma,2009-03-26,2022-05-18T05:33:28.809000Z,78,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00342058220054047000&selOrigem=TRF&chkMostrarBaixados=1
00342118920054047000,0034211-89.2005.4.04.7000,417,Apelação Criminal,7ª Turma,2008-12-01,2022-05-18T05:34:54.737000Z,89,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00342118920054047000&selOrigem=TRF&chkMostrarBaixados=1
00359913520034047000,0035991-35.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2014-05-13,2022-05-11T09:48:09.300000Z,142,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00359913520034047000&selOrigem=TRF&chkMostrarBaixados=1
00365213920034047000,0036521-39.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2013-02-27,2023-11-01T03:10:11.505000Z,85,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00365213920034047000&selOrigem=TRF&chkMostrarBaixados=1
00369986220034047000,0036998-62.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2009-06-17,2022-05-18T09:37:17.631000Z,75,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00369986220034047000&selOrigem=TRF&chkMostrarBaixados=1
00377466020044047000,0037746-60.2004.4.04.7000,417,Apelação Criminal,8ª Turma,2008-06-20,2022-05-12T06:14:46.073000Z,114,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00377466020044047000&selOrigem=TRF&chkMostrarBaixados=1
00395292420034047000,0039529-24.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2010-04-19,2022-05-18T07:24:55.335000Z,180,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00395292420034047000&selOrigem=TRF&chkMostrarBaixados=1
00395300920034047000,0039530-09.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2012-04-12,2022-05-10T14:57:14.762000Z,207,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00395300920034047000&selOrigem=TRF&chkMostrarBaixados=1
00395327620034047000,0039532-76.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2007-03-29,2022-05-11T06:43:37.901000Z,146,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00395327620034047000&selOrigem=TRF&chkMostrarBaixados=1
00407608620034047000,0040760-86.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2016-07-15,2022-05-10T15:25:15.425000Z,32,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00407608620034047000&selOrigem=TRF&chkMostrarBaixados=1
00457797320034047000,0045779-73.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2005-12-07,2022-05-10T19:42:58.217000Z,98,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00457797320034047000&selOrigem=TRF&chkMostrarBaixados=1
00459209220034047000,0045920-92.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2010-03-18,2022-05-18T12:28:46.853000Z,90,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00459209220034047000&selOrigem=TRF&chkMostrarBaixados=1
00474356520034047000,0047435-65.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2009-11-06,2022-05-10T17:42:50.374000Z,80,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00474356520034047000&selOrigem=TRF&chkMostrarBaixados=1
00506435720034047000,0050643-57.2003.4.04.7000,417,Apelação Criminal,8ª Turma,2009-12-16,2022-05-19T07:07:37.029000Z,117,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00506435720034047000&selOrigem=TRF&chkMostrarBaixados=1
00515511720034047000,0051551-17.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2010-07-26,2022-05-07T18:22:00.742000Z,71,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00515511720034047000&selOrigem=TRF&chkMostrarBaixados=1
00529334520034047000,0052933-45.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2009-04-13,2022-05-18T05:35:10.363000Z,106,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00529334520034047000&selOrigem=TRF&chkMostrarBaixados=1
00566619420034047000,0056661-94.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2006-11-22,2022-05-11T12:00:49.049000Z,114,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00566619420034047000&selOrigem=TRF&chkMostrarBaixados=1
00682380620024047000,0068238-06.2002.4.04.7000,417,Apelação Criminal,7ª Turma,2012-08-22,2024-03-26T03:10:13.000000Z,148,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00682380620024047000&selOrigem=TRF&chkMostrarBaixados=1
00687228420034047000,0068722-84.2003.4.04.7000,417,Apelação Criminal,7ª Turma,2007-10-04,2022-05-12T21:29:35.998000Z,116,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00687228420034047000&selOrigem=TRF&chkMostrarBaixados=1
00784569320024047000,0078456-93.2002.4.04.7000,417,Apelação Criminal,7ª Turma,2011-12-07,2022-05-12T19:21:54.155000Z,216,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=00784569320024047000&selOrigem=TRF&chkMostrarBaixados=1
